year	publisher	institute	cost
2014	Elsevier	Anglia Ruskin University	86124.00
2010	Wiley	Anglia Ruskin University	109138.00
2011	Wiley	Anglia Ruskin University	105890.00
2012	Wiley	Anglia Ruskin University	116352.00
2013	Wiley	Anglia Ruskin University	121437.00
2014	Wiley	Anglia Ruskin University	120087.00
2010	Springer	Anglia Ruskin University	1842.00
2011	Springer	Anglia Ruskin University	2086.00
2012	Springer	Anglia Ruskin University	2908.00
2013	Springer	Anglia Ruskin University	2850.00
2014	Springer	Anglia Ruskin University	3117.00
2010	Taylor & Francis	Anglia Ruskin University	55805.00
2011	Taylor & Francis	Anglia Ruskin University	48441.00
2012	Taylor & Francis	Anglia Ruskin University	64094.00
2013	Taylor & Francis	Anglia Ruskin University	68958.00
2014	Taylor & Francis	Anglia Ruskin University	74932.00
2010	Sage	Anglia Ruskin University	27960.00
2011	Sage	Anglia Ruskin University	24780.00
2012	Sage	Anglia Ruskin University	32742.00
2013	Sage	Anglia Ruskin University	35177.00
2014	Sage	Anglia Ruskin University	37368.00
2010	Oxford University Press	Anglia Ruskin University	9475.00
2011	Oxford University Press	Anglia Ruskin University	9598.00
2012	Oxford University Press	Anglia Ruskin University	10081.00
2013	Oxford University Press	Anglia Ruskin University	10606.00
2014	Oxford University Press	Anglia Ruskin University	11443.00
2010	Cambridge University Press	Anglia Ruskin University	4860.00
2011	Cambridge University Press	Anglia Ruskin University	4297.00
2012	Cambridge University Press	Anglia Ruskin University	4168.00
2013	Cambridge University Press	Anglia Ruskin University	4620.00
2014	Cambridge University Press	Anglia Ruskin University	4437.00
2010	Nature Publishing Group	Anglia Ruskin University	3212
2011	Nature Publishing Group	Anglia Ruskin University	3396
2012	Nature Publishing Group	Anglia Ruskin University	5555
2013	Nature Publishing Group	Anglia Ruskin University	6209
2014	Nature Publishing Group	Anglia Ruskin University	8045
2010	Royal Society of Chemistry	Anglia Ruskin University	4635
2011	Royal Society of Chemistry	Anglia Ruskin University	264
2012	Royal Society of Chemistry	Anglia Ruskin University	279
2013	Royal Society of Chemistry	Anglia Ruskin University	288
2014	Royal Society of Chemistry	Anglia Ruskin University	296
2010	Institute of Physics Publishing	Anglia Ruskin University	276
2011	Institute of Physics Publishing	Anglia Ruskin University	294
2012	Institute of Physics Publishing	Anglia Ruskin University	309
2013	Institute of Physics Publishing	Anglia Ruskin University	321
2014	Institute of Physics Publishing	Anglia Ruskin University	335
2010	Elsevier	Arts University Bournemouth	0.00
2011	Elsevier	Arts University Bournemouth	0.00
2012	Elsevier	Arts University Bournemouth	0.00
2013	Elsevier	Arts University Bournemouth	0.00
2014	Elsevier	Arts University Bournemouth	0.00
2010	Wiley	Arts University Bournemouth	521.00
2011	Wiley	Arts University Bournemouth	663.38
2012	Wiley	Arts University Bournemouth	271.08
2013	Wiley	Arts University Bournemouth	293.30
2014	Wiley	Arts University Bournemouth	313.30
2010	Springer	Arts University Bournemouth	0.00
2011	Springer	Arts University Bournemouth	0.00
2012	Springer	Arts University Bournemouth	0.00
2013	Springer	Arts University Bournemouth	0.00
2014	Springer	Arts University Bournemouth	0.00
2010	Taylor & Francis	Arts University Bournemouth	2217.00
2011	Taylor & Francis	Arts University Bournemouth	4257.71
2012	Taylor & Francis	Arts University Bournemouth	3856.07
2013	Taylor & Francis	Arts University Bournemouth	6175.09
2014	Taylor & Francis	Arts University Bournemouth	6347.51
2010	Sage	Arts University Bournemouth	1752.00
2011	Sage	Arts University Bournemouth	1575.70
2012	Sage	Arts University Bournemouth	946.53
2013	Sage	Arts University Bournemouth	994.81
2014	Sage	Arts University Bournemouth	1050.98
2010	Oxford University Press	Arts University Bournemouth	335.00
2011	Oxford University Press	Arts University Bournemouth	369.43
2012	Oxford University Press	Arts University Bournemouth	393.42
2013	Oxford University Press	Arts University Bournemouth	413.28
2014	Oxford University Press	Arts University Bournemouth	451.63
2010	Cambridge University Press	Arts University Bournemouth	321.00
2011	Cambridge University Press	Arts University Bournemouth	347.00
2012	Cambridge University Press	Arts University Bournemouth	372.94
2013	Cambridge University Press	Arts University Bournemouth	584.19
2014	Cambridge University Press	Arts University Bournemouth	453.89
2010	Nature Publishing Group	Arts University Bournemouth	0
2011	Nature Publishing Group	Arts University Bournemouth	0
2012	Nature Publishing Group	Arts University Bournemouth	0
2013	Nature Publishing Group	Arts University Bournemouth	0
2014	Nature Publishing Group	Arts University Bournemouth	0
2010	Royal Society of Chemistry	Arts University Bournemouth	0
2011	Royal Society of Chemistry	Arts University Bournemouth	0
2012	Royal Society of Chemistry	Arts University Bournemouth	0
2013	Royal Society of Chemistry	Arts University Bournemouth	0
2014	Royal Society of Chemistry	Arts University Bournemouth	0
2010	Institute of Physics Publishing	Arts University Bournemouth	0
2011	Institute of Physics Publishing	Arts University Bournemouth	0
2012	Institute of Physics Publishing	Arts University Bournemouth	0
2013	Institute of Physics Publishing	Arts University Bournemouth	0
2014	Institute of Physics Publishing	Arts University Bournemouth	0
2010	Elsevier	Aston University	245171.00
2011	Elsevier	Aston University	254704.00
2012	Elsevier	Aston University	253856.00
2013	Elsevier	Aston University	256824.00
2014	Elsevier	Aston University	264486.00
2010	Wiley	Aston University	255.13
2011	Wiley	Aston University	946.01
2012	Wiley	Aston University	949.77
2013	Wiley	Aston University	0.00
2014	Wiley	Aston University	7047.83
2010	Springer	Aston University	5250.71
2011	Springer	Aston University	0.00
2012	Springer	Aston University	987.51
2013	Springer	Aston University	0.00
2014	Springer	Aston University	3944.84
2010	Taylor & Francis	Aston University	60.90
2011	Taylor & Francis	Aston University	0.00
2012	Taylor & Francis	Aston University	0.00
2013	Taylor & Francis	Aston University	0.00
2014	Taylor & Francis	Aston University	0.00
2010	Sage	Aston University	104.50
2011	Sage	Aston University	271.94
2012	Sage	Aston University	0.00
2013	Sage	Aston University	15.19
2014	Sage	Aston University	2400.00
2010	Oxford University Press	Aston University	91.99
2011	Oxford University Press	Aston University	60.49
2012	Oxford University Press	Aston University	2724.20
2013	Oxford University Press	Aston University	258.00
2014	Oxford University Press	Aston University	595.20
2010	Cambridge University Press	Aston University	71.50
2011	Cambridge University Press	Aston University	0.00
2012	Cambridge University Press	Aston University	0.00
2013	Cambridge University Press	Aston University	0.00
2014	Cambridge University Press	Aston University	12127.43
2010	Nature Publishing Group	Aston University	1208
2011	Nature Publishing Group	Aston University	3045
2012	Nature Publishing Group	Aston University	5774
2013	Nature Publishing Group	Aston University	0
2014	Nature Publishing Group	Aston University	10628
2010	Royal Society of Chemistry	Aston University	229
2011	Royal Society of Chemistry	Aston University	1391
2012	Royal Society of Chemistry	Aston University	559
2013	Royal Society of Chemistry	Aston University	563
2014	Royal Society of Chemistry	Aston University	920
2010	Institute of Physics Publishing	Aston University	0
2011	Institute of Physics Publishing	Aston University	0
2012	Institute of Physics Publishing	Aston University	0
2013	Institute of Physics Publishing	Aston University	0
2014	Institute of Physics Publishing	Aston University	0
2010	Elsevier	Bangor University	248926.18
2011	Elsevier	Bangor University	249413.25
2012	Elsevier	Bangor University	246511.97
2013	Elsevier	Bangor University	251029.27
2014	Elsevier	Bangor University	259015.08
2010	Wiley	Bangor University	123129.35
2011	Wiley	Bangor University	134782.53
2012	Wiley	Bangor University	129148.57
2013	Wiley	Bangor University	139975.70
2014	Wiley	Bangor University	144737.62
2010	Springer	Bangor University	75229.81
2011	Springer	Bangor University	76965.24
2012	Springer	Bangor University	81255.83
2013	Springer	Bangor University	77310.28
2014	Springer	Bangor University	82273.18
2010	Taylor & Francis	Bangor University	111358.50
2011	Taylor & Francis	Bangor University	118828.48
2012	Taylor & Francis	Bangor University	148735.20
2013	Taylor & Francis	Bangor University	147195.70
2014	Taylor & Francis	Bangor University	158362.00
2010	Sage	Bangor University	44837.41
2011	Sage	Bangor University	52773.33
2012	Sage	Bangor University	64740.86
2013	Sage	Bangor University	67350.83
2014	Sage	Bangor University	70198.17
2010	Oxford University Press	Bangor University	18222.90
2011	Oxford University Press	Bangor University	21243.82
2012	Oxford University Press	Bangor University	22404.44
2013	Oxford University Press	Bangor University	22866.08
2014	Oxford University Press	Bangor University	24485.32
2010	Cambridge University Press	Bangor University	20800.48
2011	Cambridge University Press	Bangor University	22093.44
2012	Cambridge University Press	Bangor University	23919.60
2013	Cambridge University Press	Bangor University	25218.44
2014	Cambridge University Press	Bangor University	26800.42
2010	Nature Publishing Group	Bangor University	15403
2011	Nature Publishing Group	Bangor University	16420
2012	Nature Publishing Group	Bangor University	17752
2013	Nature Publishing Group	Bangor University	20369
2014	Nature Publishing Group	Bangor University	23751
2010	Royal Society of Chemistry	Bangor University	11302
2011	Royal Society of Chemistry	Bangor University	13994
2012	Royal Society of Chemistry	Bangor University	16074
2013	Royal Society of Chemistry	Bangor University	19033
2014	Royal Society of Chemistry	Bangor University	19585
2010	Institute of Physics Publishing	Bangor University	5095
2011	Institute of Physics Publishing	Bangor University	5352
2012	Institute of Physics Publishing	Bangor University	5622
2013	Institute of Physics Publishing	Bangor University	5845
2014	Institute of Physics Publishing	Bangor University	6037
2010	Elsevier	University of Bath	519062.12
2011	Elsevier	University of Bath	514990.66
2012	Elsevier	University of Bath	750747.10
2013	Elsevier	University of Bath	557117.76
2014	Elsevier	University of Bath	574475.69
2010	Wiley	University of Bath	150799.00
2011	Wiley	University of Bath	149717.00
2012	Wiley	University of Bath	221354.00
2013	Wiley	University of Bath	198594.00
2014	Wiley	University of Bath	207686.00
2010	Springer	University of Bath	108329.00
2011	Springer	University of Bath	105681.00
2012	Springer	University of Bath	182103.00
2013	Springer	University of Bath	107611.00
2014	Springer	University of Bath	118319.00
2010	Taylor & Francis	University of Bath	110266.00
2011	Taylor & Francis	University of Bath	129732.00
2012	Taylor & Francis	University of Bath	134551.00
2013	Taylor & Francis	University of Bath	155473.00
2014	Taylor & Francis	University of Bath	147836.00
2010	Sage	University of Bath	61110.00
2011	Sage	University of Bath	71733.00
2012	Sage	University of Bath	88713.00
2013	Sage	University of Bath	90463.00
2014	Sage	University of Bath	91809.00
2010	Oxford University Press	University of Bath	18063.00
2011	Oxford University Press	University of Bath	19962.00
2012	Oxford University Press	University of Bath	24168.00
2013	Oxford University Press	University of Bath	25708.00
2014	Oxford University Press	University of Bath	27053.00
2010	Cambridge University Press	University of Bath	11489.00
2011	Cambridge University Press	University of Bath	13334.00
2012	Cambridge University Press	University of Bath	14356.00
2013	Cambridge University Press	University of Bath	15251.00
2014	Cambridge University Press	University of Bath	18907.00
2010	Nature Publishing Group	University of Bath	63181
2011	Nature Publishing Group	University of Bath	64546
2012	Nature Publishing Group	University of Bath	68648
2013	Nature Publishing Group	University of Bath	70024
2014	Nature Publishing Group	University of Bath	79029
2010	Royal Society of Chemistry	University of Bath	19505
2011	Royal Society of Chemistry	University of Bath	21127
2012	Royal Society of Chemistry	University of Bath	24695
2013	Royal Society of Chemistry	University of Bath	21600
2014	Royal Society of Chemistry	University of Bath	22248
2010	Institute of Physics Publishing	University of Bath	20041
2011	Institute of Physics Publishing	University of Bath	17477
2012	Institute of Physics Publishing	University of Bath	18889
2013	Institute of Physics Publishing	University of Bath	20369
2014	Institute of Physics Publishing	University of Bath	20607
2010	Elsevier	Bath Spa University	0.00
2011	Elsevier	Bath Spa University	0.00
2012	Elsevier	Bath Spa University	0.00
2013	Elsevier	Bath Spa University	19445.00
2014	Elsevier	Bath Spa University	24034.00
2010	Wiley	Bath Spa University	0.00
2011	Wiley	Bath Spa University	0.00
2012	Wiley	Bath Spa University	0.00
2013	Wiley	Bath Spa University	0.00
2014	Wiley	Bath Spa University	0.00
2010	Springer	Bath Spa University	0.00
2011	Springer	Bath Spa University	0.00
2012	Springer	Bath Spa University	0.00
2013	Springer	Bath Spa University	0.00
2014	Springer	Bath Spa University	0.00
2010	Taylor & Francis	Bath Spa University	56.00
2011	Taylor & Francis	Bath Spa University	0.00
2012	Taylor & Francis	Bath Spa University	0.00
2013	Taylor & Francis	Bath Spa University	0.00
2014	Taylor & Francis	Bath Spa University	0.00
2010	Sage	Bath Spa University	299.63
2011	Sage	Bath Spa University	357.97
2012	Sage	Bath Spa University	306.00
2013	Sage	Bath Spa University	324.00
2014	Sage	Bath Spa University	306.00
2010	Oxford University Press	Bath Spa University	990.96
2011	Oxford University Press	Bath Spa University	2894.40
2012	Oxford University Press	Bath Spa University	1983.60
2013	Oxford University Press	Bath Spa University	247.30
2014	Oxford University Press	Bath Spa University	267.00
2010	Cambridge University Press	Bath Spa University	0.00
2011	Cambridge University Press	Bath Spa University	400.00
2012	Cambridge University Press	Bath Spa University	0.00
2013	Cambridge University Press	Bath Spa University	0.00
2014	Cambridge University Press	Bath Spa University	0.00
2010	Nature Publishing Group	Bath Spa University	
2011	Nature Publishing Group	Bath Spa University	
2012	Nature Publishing Group	Bath Spa University	
2013	Nature Publishing Group	Bath Spa University	
2014	Nature Publishing Group	Bath Spa University	
2010	Royal Society of Chemistry	Bath Spa University	0
2011	Royal Society of Chemistry	Bath Spa University	0
2012	Royal Society of Chemistry	Bath Spa University	0
2013	Royal Society of Chemistry	Bath Spa University	0
2014	Royal Society of Chemistry	Bath Spa University	0
2010	Institute of Physics Publishing	Bath Spa University	
2011	Institute of Physics Publishing	Bath Spa University	
2012	Institute of Physics Publishing	Bath Spa University	349
2013	Institute of Physics Publishing	Bath Spa University	363
2014	Institute of Physics Publishing	Bath Spa University	379
2010	Elsevier	University of Bedfordshire	69648.90
2011	Elsevier	University of Bedfordshire	70106.19
2012	Elsevier	University of Bedfordshire	68312.23
2013	Elsevier	University of Bedfordshire	88876.50
2014	Elsevier	University of Bedfordshire	94322.67
2010	Wiley	University of Bedfordshire	41249.98
2011	Wiley	University of Bedfordshire	52292.87
2012	Wiley	University of Bedfordshire	51088.63
2013	Wiley	University of Bedfordshire	71117.91
2014	Wiley	University of Bedfordshire	81334.12
2010	Springer	University of Bedfordshire	13756.79
2011	Springer	University of Bedfordshire	8723.73
2012	Springer	University of Bedfordshire	7676.62
2013	Springer	University of Bedfordshire	7820.36
2014	Springer	University of Bedfordshire	10072.79
2010	Taylor & Francis	University of Bedfordshire	72894.29
2011	Taylor & Francis	University of Bedfordshire	84844.26
2012	Taylor & Francis	University of Bedfordshire	89517.12
2013	Taylor & Francis	University of Bedfordshire	93004.25
2014	Taylor & Francis	University of Bedfordshire	99746.43
2010	Sage	University of Bedfordshire	44155.59
2011	Sage	University of Bedfordshire	50208.17
2012	Sage	University of Bedfordshire	48807.85
2013	Sage	University of Bedfordshire	50719.92
2014	Sage	University of Bedfordshire	52387.11
2010	Oxford University Press	University of Bedfordshire	6597.78
2011	Oxford University Press	University of Bedfordshire	7210.91
2012	Oxford University Press	University of Bedfordshire	7672.22
2013	Oxford University Press	University of Bedfordshire	7793.89
2014	Oxford University Press	University of Bedfordshire	10329.75
2010	Cambridge University Press	University of Bedfordshire	4626.00
2011	Cambridge University Press	University of Bedfordshire	5257.53
2012	Cambridge University Press	University of Bedfordshire	5579.95
2013	Cambridge University Press	University of Bedfordshire	4915.10
2014	Cambridge University Press	University of Bedfordshire	5335.90
2010	Nature Publishing Group	University of Bedfordshire	6677
2011	Nature Publishing Group	University of Bedfordshire	4456
2012	Nature Publishing Group	University of Bedfordshire	4485
2013	Nature Publishing Group	University of Bedfordshire	2742
2014	Nature Publishing Group	University of Bedfordshire	3068
2010	Royal Society of Chemistry	University of Bedfordshire	
2011	Royal Society of Chemistry	University of Bedfordshire	
2012	Royal Society of Chemistry	University of Bedfordshire	
2013	Royal Society of Chemistry	University of Bedfordshire	
2014	Royal Society of Chemistry	University of Bedfordshire	
2010	Institute of Physics Publishing	University of Bedfordshire	0
2011	Institute of Physics Publishing	University of Bedfordshire	0
2012	Institute of Physics Publishing	University of Bedfordshire	0
2013	Institute of Physics Publishing	University of Bedfordshire	0
2014	Institute of Physics Publishing	University of Bedfordshire	0
2010	Elsevier	Birkbeck University of London	97781.00
2011	Elsevier	Birkbeck University of London	133588.00
2012	Elsevier	Birkbeck University of London	131184.00
2013	Elsevier	Birkbeck University of London	122160.00
2014	Elsevier	Birkbeck University of London	107794.00
2010	Wiley	Birkbeck University of London	64199.00
2011	Wiley	Birkbeck University of London	67740.00
2012	Wiley	Birkbeck University of London	76605.00
2013	Wiley	Birkbeck University of London	65726.00
2014	Wiley	Birkbeck University of London	67057.00
2010	Springer	Birkbeck University of London	23957.00
2011	Springer	Birkbeck University of London	22662.00
2012	Springer	Birkbeck University of London	24516.00
2013	Springer	Birkbeck University of London	16890.00
2014	Springer	Birkbeck University of London	15000.00
2010	Taylor & Francis	Birkbeck University of London	32757.00
2011	Taylor & Francis	Birkbeck University of London	40917.00
2012	Taylor & Francis	Birkbeck University of London	44101.00
2013	Taylor & Francis	Birkbeck University of London	42004.00
2014	Taylor & Francis	Birkbeck University of London	51208.00
2010	Sage	Birkbeck University of London	10134.00
2011	Sage	Birkbeck University of London	10870.00
2012	Sage	Birkbeck University of London	11134.00
2013	Sage	Birkbeck University of London	11850.00
2014	Sage	Birkbeck University of London	11261.00
2010	Oxford University Press	Birkbeck University of London	15566.00
2011	Oxford University Press	Birkbeck University of London	15229.00
2012	Oxford University Press	Birkbeck University of London	16510.00
2013	Oxford University Press	Birkbeck University of London	14989.00
2014	Oxford University Press	Birkbeck University of London	15676.00
2010	Cambridge University Press	Birkbeck University of London	48461.00
2011	Cambridge University Press	Birkbeck University of London	53918.00
2012	Cambridge University Press	Birkbeck University of London	64104.00
2013	Cambridge University Press	Birkbeck University of London	58573.00
2014	Cambridge University Press	Birkbeck University of London	59854.00
2010	Nature Publishing Group	Birkbeck University of London	7497
2011	Nature Publishing Group	Birkbeck University of London	15392
2012	Nature Publishing Group	Birkbeck University of London	10406
2013	Nature Publishing Group	Birkbeck University of London	14845
2014	Nature Publishing Group	Birkbeck University of London	4681
2010	Royal Society of Chemistry	Birkbeck University of London	500
2011	Royal Society of Chemistry	Birkbeck University of London	0
2012	Royal Society of Chemistry	Birkbeck University of London	0
2013	Royal Society of Chemistry	Birkbeck University of London	0
2014	Royal Society of Chemistry	Birkbeck University of London	0
2010	Institute of Physics Publishing	Birkbeck University of London	0
2011	Institute of Physics Publishing	Birkbeck University of London	0
2012	Institute of Physics Publishing	Birkbeck University of London	0
2013	Institute of Physics Publishing	Birkbeck University of London	0
2014	Institute of Physics Publishing	Birkbeck University of London	0
2010	Elsevier	University of Birmingham	798860.49
2011	Elsevier	University of Birmingham	809986.62
2012	Elsevier	University of Birmingham	923979.23
2013	Elsevier	University of Birmingham	854854.08
2014	Elsevier	University of Birmingham	950251.31
2010	Wiley	University of Birmingham	288115.26
2011	Wiley	University of Birmingham	296727.09
2012	Wiley	University of Birmingham	288090.31
2013	Wiley	University of Birmingham	292998.07
2014	Wiley	University of Birmingham	310357.08
2010	Springer	University of Birmingham	235134.00
2011	Springer	University of Birmingham	255310.52
2012	Springer	University of Birmingham	263395.97
2013	Springer	University of Birmingham	248660.26
2014	Springer	University of Birmingham	270737.76
2010	Taylor & Francis	University of Birmingham	233017.41
2011	Taylor & Francis	University of Birmingham	216138.89
2012	Taylor & Francis	University of Birmingham	230348.34
2013	Taylor & Francis	University of Birmingham	231178.48
2014	Taylor & Francis	University of Birmingham	231134.66
2010	Sage	University of Birmingham	109148.93
2011	Sage	University of Birmingham	116435.25
2012	Sage	University of Birmingham	129230.15
2013	Sage	University of Birmingham	132809.73
2014	Sage	University of Birmingham	140623.22
2010	Oxford University Press	University of Birmingham	54911.32
2011	Oxford University Press	University of Birmingham	59298.09
2012	Oxford University Press	University of Birmingham	61278.00
2013	Oxford University Press	University of Birmingham	63444.03
2014	Oxford University Press	University of Birmingham	70156.21
2010	Cambridge University Press	University of Birmingham	26834.02
2011	Cambridge University Press	University of Birmingham	25422.78
2012	Cambridge University Press	University of Birmingham	26380.57
2013	Cambridge University Press	University of Birmingham	28179.92
2014	Cambridge University Press	University of Birmingham	31034.90
2010	Nature Publishing Group	University of Birmingham	79648
2011	Nature Publishing Group	University of Birmingham	91740
2012	Nature Publishing Group	University of Birmingham	99914
2013	Nature Publishing Group	University of Birmingham	103423
2014	Nature Publishing Group	University of Birmingham	104389
2010	Royal Society of Chemistry	University of Birmingham	20330
2011	Royal Society of Chemistry	University of Birmingham	18944
2012	Royal Society of Chemistry	University of Birmingham	22888
2013	Royal Society of Chemistry	University of Birmingham	23365
2014	Royal Society of Chemistry	University of Birmingham	24066
2010	Institute of Physics Publishing	University of Birmingham	34512
2011	Institute of Physics Publishing	University of Birmingham	38024
2012	Institute of Physics Publishing	University of Birmingham	39114
2013	Institute of Physics Publishing	University of Birmingham	43397
2014	Institute of Physics Publishing	University of Birmingham	45808
2010	Elsevier	Birmingham City University	62962.00
